"STATION","NAME","DATE","TMAX"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-08-17","91"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-08-18","92"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-08-19","90"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-08-20","89"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-08-21","90"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-08-22","91"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-08-23","91"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-08-24","91"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-08-25","85"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-08-26","88"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-08-27","84"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-08-28","86"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-08-29","88"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-08-30","84"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-08-31","83"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-09-01","80"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-09-02","74"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-09-03","87"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-09-04","85"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-09-05","87"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-09-06","89"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-09-07","89"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-09-08","89"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-09-09","91"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-09-10","85"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-09-11","86"
